code,label,type,min,max,step,description,direct,category,active,has_team,overall,home,away,id,inplay_only
first_corner_against_avg,AVG First Corner Against Time,avg,0,90,1,The average Time when First Corner was conceived AGAISNT team.,1,corners,1,,,,,42,
first_corner_for_avg,AVG First Corner For Time,avg,0,90,1,The average Time when First Corner was conceived FOR team.,1,corners,1,,,,,43,
first_corner_total_avg,AVG First Corner Time,avg,0,90,1,The average Time when First Corner was conceived or conceded.,1,corners,1,,,,,44,
o105_corners_per,+10.5 Total Corners %,per,0,100,1,Percentage of matches where the Total Corners ended with 11 corners or above.,,corners,1,,o105_corners_overall_per,o105_corners_home_per,o105_corners_away_per,45,
o25_corners_1h_per,+2.5 1H Corners %,per,0,100,1,Percentage of matches where the Total Corners ended with 3 corners or above in 1st half,,corners,1,,o25_corners_1h_overall_per,o25_corners_1h_home_per,o25_corners_1h_away_per,46,
o35_corners_1h_per,+3.5 1H Corners %,per,0,100,1,Percentage of matches where the Total Corners ended with 4 corners or above in 1st half,,corners,1,,o35_corners_1h_overall_per,o35_corners_1h_home_per,o35_corners_1h_away_per,47,
o45_corners_1h_per,+4.5 1H Corners %,per,0,100,1,Percentage of matches where the Total Corners ended with 5 corners or above in 1st half,,corners,1,,o45_corners_1h_overall_per,o45_corners_1h_home_per,o45_corners_1h_away_per,48,
o55_corners_1h_per,+5.5 1H Corners %,per,0,100,1,Percentage of matches where the Total Corners ended with 6 corners or above in 1st half,,corners,1,,o55_corners_1h_overall_per,o55_corners_1h_home_per,o55_corners_1h_away_per,49,
o75_corners_per,+7.5 Total Corners %,per,0,100,1,Percentage of matches where the Total Corners ended with 8 corners or above.,,corners,1,,o75_corners_overall_per,o75_corners_home_per,o75_corners_away_per,50,
o85_corners_per,+8.5 Total Corners %,per,0,100,1,Percentage of matches where the Total Corners ended with 9 corners or above.,,corners,1,,o85_corners_overall_per,o85_corners_home_per,o85_corners_away_per,51,
o95_corners_per,+9.5 Total Corners %,per,0,100,1,Percentage of matches where the Total Corners ended with 10 corners or above.,,corners,1,,o95_corners_overall_per,o95_corners_home_per,o95_corners_away_per,52,
btts_per,BTTS %,per,0,100,1,Percentage of matches ended with both teams scoring.,,general,1,,btts_overall_per,btts_home_per,btts_away_per,53,
drawn_per,Draw %,per,0,100,1,Percentage of matches where team DREW,,general,1,,drawn_overall_per,drawn_home_per,drawn_away_per,54,
lost,Games Lost,num,0,60,1,Number of games away win by team,,general,1,,lost_overall,lost_home,lost_away,55,
lost_per,Lost %,per,0,100,1,Percentage of matches where team LOST,,general,1,,lost_overall_per,lost_home_per,lost_away_per,56,
offsides_against_avg,Offsides Against (AVG),avg,0,15,1,The average number of total offside AGAINST team.,,general,1,,offsides_against_overall_avg,offsides_against_home_avg,offsides_against_away_avg,57,
offsides_avg,Offsides (AVG),avg,0,15,1,The average number of total offsides per match.,,general,1,,offsides_overall_avg,offsides_home_avg,offsides_away_avg,58,
offsides_for_avg,Offsides For (AVG),avg,0,15,1,The average number of total offside FOR team.,,general,1,,offsides_for_overall_avg,offsides_for_home_avg,offsides_for_away_avg,59,
played,Matches Played,num,0,60,1,Number of matches played by team,,general,1,,played_overall,played_home,played_away,60,
